OPERATIONS
CT4 , A
CT1 , R
CT40 , A
CT2 , R
CT16 , A
CT42 , A
CT89 , A
CT3 , R
CT4 , R
CT5 , R
CT17 , A
CT6 , R
CT12 , A
CT7 , R
CT8 , R
CT9 , R
CT87 , A
CT10 , R
CT61 , A
CT50 , A
CT11 , R
CT12 , R
CT14 , A
CT13 , R
CT14 , R
CT15 , R
CT16 , R
CT17 , R
CT57 , A
CT18 , R
CT69 , A
CT19 , R
CT20 , R
CT65 , A
CT79 , A
CT21 , R
CT22 , R
CT23 , R
CT24 , R
CT25 , R
CT26 , R
CT27 , R
CT46 , A
CT28 , R
CT29 , R
CT82 , A
CT30 , R
CT55 , A
CT31 , R
CT32 , R
CT33 , R
CT34 , R
CT35 , R
CT36 , R
CT37 , R
CT38 , R
CT39 , R
CT40 , R
CT41 , R
CT42 , R
CT43 , R
CT44 , R
CT45 , R
CT46 , R
CT47 , R
CT48 , R
CT49 , R
CT50 , R
CT51 , R
CT90 , A
CT52 , R
CT53 , R
CT54 , R
CT55 , R
CT56 , R
CT57 , R
CT58 , R
CT59 , R
CT60 , R
CT61 , R
CT62 , R
CT63 , R
CT64 , R
CT65 , R
CT66 , R
CT67 , R
CT68 , R
CT69 , R
CT70 , R
CT71 , R
CT72 , R
CT73 , R
CT76 , A
CT74 , R
CT75 , R
CT76 , R
CT77 , R
CT78 , R
CT79 , R
CT80 , R
CT81 , R
CT82 , R
CT83 , R
CT84 , R
CT85 , R
CT86 , R
CT87 , R
CT88 , R
CT89 , R
CT90 , R
CT91 , R
CT92 , R
CT93 , R
CT94 , R
CT95 , R
CT96 , R
CT97 , R
CT98 , R
CT99 , R
CT100 , R
