CONTAINER_ID , X , Y
CT1 , 6 , 3
CT2 , 6 , 7
CT3 , 3 , 8
CT4 , 0 , 0
CT5 , 5 , 4
CT6 , 8 , 5
CT7 , 6 , 2
CT8 , 2 , 1
CT9 , 8 , 1
CT10 , 10 , 8
CT11 , 3 , 7
CT12 , 0 , 0
CT13 , 8 , 4
CT14 , 5 , 5
CT15 , 7 , 1
CT16 , 4 , 6
CT17 , 6 , 5
CT18 , 8 , 6
CT19 , 1 , 6
CT20 , 10 , 3
CT21 , 3 , 1
CT22 , 3 , 4
CT23 , 1 , 3
CT24 , 6 , 6
CT25 , 9 , 3
CT26 , 8 , 7
CT27 , 0 , 0
CT28 , 4 , 5
CT29 , 0 , 0
CT30 , 1 , 7
CT31 , 4 , 7
CT32 , 7 , 2
CT33 , 10 , 5
CT34 , 0 , 0
CT35 , 3 , 2
CT36 , 2 , 5
CT37 , 8 , 3
CT38 , 10 , 7
CT39 , 7 , 5
CT40 , 2 , 3
CT41 , 4 , 4
CT42 , 0 , 0
CT43 , 8 , 2
CT44 , 2 , 6
CT45 , 9 , 8
CT46 , 8 , 8
CT47 , 9 , 4
CT48 , 0 , 0
CT49 , 10 , 4
CT50 , 4 , 1
CT51 , 0 , 0
CT52 , 7 , 7
CT53 , 0 , 0
CT54 , 6 , 4
CT55 , 4 , 3
CT56 , 4 , 8
CT57 , 10 , 6
CT58 , 0 , 0
CT59 , 1 , 2
CT60 , 2 , 4
CT61 , 0 , 0
CT62 , 4 , 2
CT63 , 0 , 0
CT64 , 7 , 3
CT65 , 10 , 2
CT66 , 2 , 2
CT67 , 5 , 8
CT68 , 1 , 5
CT69 , 0 , 0
CT70 , 1 , 1
CT71 , 0 , 0
CT72 , 7 , 6
CT73 , 0 , 0
CT74 , 9 , 6
CT75 , 5 , 7
CT76 , 1 , 8
CT77 , 3 , 3
CT78 , 0 , 0
CT79 , 5 , 6
CT80 , 0 , 0
CT81 , 10 , 1
CT82 , 2 , 8
CT83 , 5 , 1
CT84 , 9 , 7
CT85 , 1 , 4
CT86 , 0 , 0
CT87 , 6 , 1
CT88 , 0 , 0
CT89 , 9 , 2
CT90 , 5 , 3
CT91 , 7 , 4
CT92 , 9 , 1
CT93 , 3 , 6
CT94 , 5 , 2
CT95 , 3 , 5
CT96 , 2 , 7
CT97 , 0 , 0
CT98 , 7 , 8
CT99 , 9 , 5
CT100 , 6 , 8
