OPERATIONS
CT10 , A
CT53 , A
CT43 , A
CT11 , A
CT1 , A
CT60 , A
CT79 , A
CT2 , A
CT24 , A
CT50 , A
CT29 , A
CT3 , A
CT15 , A
CT1 , R
CT5 , A
CT88 , A
CT75 , A
CT91 , A
CT2 , R
CT36 , A
CT73 , A
CT38 , A
CT12 , A
CT49 , A
CT22 , A
CT3 , R
CT83 , A
CT8 , A
CT27 , A
CT47 , A
CT26 , A
CT4 , R
CT9 , A
CT13 , A
CT28 , A
CT5 , R
CT18 , A
CT35 , A
CT72 , A
CT6 , R
CT41 , A
CT44 , A
CT7 , R
CT8 , R
CT9 , R
CT62 , A
CT10 , R
CT80 , A
CT11 , R
CT12 , R
CT14 , A
CT17 , A
CT13 , R
CT59 , A
CT30 , A
CT58 , A
CT20 , A
CT14 , R
CT54 , A
CT15 , R
CT23 , A
CT25 , A
CT96 , A
CT63 , A
CT61 , A
CT21 , A
CT16 , R
CT92 , A
CT89 , A
CT17 , R
CT85 , A
CT74 , A
CT37 , A
CT93 , A
CT18 , R
CT19 , R
CT52 , A
CT87 , A
CT71 , A
CT77 , A
CT20 , R
CT21 , R
CT57 , A
CT22 , R
CT23 , R
CT24 , R
CT42 , A
CT46 , A
CT25 , R
CT86 , A
CT26 , R
CT31 , A
CT65 , A
CT27 , R
CT28 , R
CT29 , R
CT30 , R
CT31 , R
CT32 , R
CT33 , R
CT34 , R
CT35 , R
CT82 , A
CT36 , R
CT37 , R
CT94 , A
CT38 , R
CT39 , R
CT40 , R
CT41 , R
CT42 , R
CT43 , R
CT44 , R
CT45 , R
CT46 , R
CT47 , R
CT48 , R
CT49 , R
CT50 , R
CT51 , R
CT52 , R
CT56 , A
CT98 , A
CT53 , R
CT54 , R
CT55 , R
CT56 , R
CT81 , A
CT76 , A
CT57 , R
CT58 , R
CT78 , A
CT59 , R
CT60 , R
CT68 , A
CT66 , A
CT61 , R
CT62 , R
CT63 , R
CT64 , R
CT65 , R
CT66 , R
CT70 , A
CT67 , R
CT68 , R
CT84 , A
CT69 , R
CT70 , R
CT71 , R
CT72 , R
CT73 , R
CT74 , R
CT75 , R
CT76 , R
CT77 , R
CT97 , A
CT78 , R
CT79 , R
CT80 , R
CT81 , R
CT82 , R
CT83 , R
CT84 , R
CT85 , R
CT86 , R
CT87 , R
CT88 , R
CT89 , R
CT90 , R
CT99 , A
CT91 , R
CT92 , R
CT93 , R
CT94 , R
CT95 , R
CT96 , R
CT97 , R
CT98 , R
CT99 , R
CT100 , R
